_id,INJECTOR_CODE,FOLIO_NUMBER,FRAC_UNACCOUNTED
6638d02b36388c250bde0767,INJ_301,09/29/2021,0
6638d02b36388c250bde0768,INJ_301,09/30/2021,0
6638d02b36388c250bde0769,INJ_301,10/01/2021,1
6638d02b36388c250bde076a,INJ_301,10/02/2021,0
6638d02b36388c250bde076b,INJ_301,10/04/2021,-2
6638d02b36388c250bde076c,INJ_301,10/05/2021,1
6638d02b36388c250bde076d,INJ_301,10/06/2021,0
6638d02b36388c250bde076e,INJ_301,10/07/2021,-2
6638d02b36388c250bde076f,INJ_301,10/08/2021,2
6638d02b36388c250bde0770,INJ_301,10/09/2021,2
6638d02b36388c250bde0771,INJ_301,10/11/2021,-1
6638d02b36388c250bde0772,INJ_301,10/12/2021,927
6638d02b36388c250bde0773,INJ_301,10/13/2021,487
6638d02b36388c250bde0774,INJ_301,10/15/2021,0
6638d02b36388c250bde0775,INJ_301,10/22/2021,-1
6638d02b36388c250bde0776,INJ_301,10/23/2021,1
6638d02b36388c250bde0777,INJ_301,10/25/2021,1
6638d02b36388c250bde0778,INJ_301,10/26/2021,0
6638d02b36388c250bde0779,INJ_301,10/27/2021,1
6638d02b36388c250bde077a,INJ_301,10/28/2021,0
6638d02b36388c250bde077b,INJ_301,10/29/2021,1
6638d02b36388c250bde077c,INJ_301,10/30/2021,1
6638d02b36388c250bde077d,INJ_301,11/01/2021,1
6638d02b36388c250bde077e,INJ_301,11/02/2021,2
6638d02b36388c250bde077f,INJ_301,11/03/2021,-2
6638d02b36388c250bde0780,INJ_301,11/04/2021,-1
6638d02b36388c250bde0781,INJ_301,11/05/2021,0
6638d02b36388c250bde0782,INJ_301,11/06/2021,1
6638d02b36388c250bde0783,INJ_301,11/08/2021,1
6638d02b36388c250bde0784,INJ_301,11/09/2021,-1
